distro,release,codename,variant,libc,libc_baseline,cxx_stdlib,cxx_stdlib_baseline,cxx_stdlib_source_url,linux_uapi_headers_baseline,alternate_linux_uapi_headers_baseline,notes,source_url
Fedora,18,,,glibc,2.16,libstdc++,4.7.2,https://archives.fedoraproject.org/pub/archive/fedora/linux/releases/18/Everything/x86_64/os/repodata/463ac49f2218e404607b2eeb3c04be1a648d90293f4239bbb6a63c2fed672bea-primary.xml.gz,3.6,,Release-media kernel/header baseline; Fedora moves quickly after release.,https://fedoraproject.org/wiki/Releases/18/Release_Notes
Fedora,19,,,glibc,2.17,libstdc++,4.8.1,https://archives.fedoraproject.org/pub/archive/fedora/linux/releases/19/Everything/x86_64/os/repodata/d3f67da6461748f57a06459e6877fd07858828e256f58f032704186a65430fd3-primary.xml.gz,3.9,,Release-media kernel/header baseline; Fedora moves quickly after release.,https://fedoraproject.org/wiki/Releases/19/Release_Notes
Fedora,20,,,glibc,2.18,libstdc++,4.8.2,https://archives.fedoraproject.org/pub/archive/fedora/linux/releases/20/Everything/x86_64/os/repodata/d7777ea6ec66e1c86c3fe1900adf5bf8d877fb77dd06e439bd76bbbec4e82094-primary.xml.gz,3.11,,Release-media kernel/header baseline; Fedora moves quickly after release.,https://fedoraproject.org/wiki/Releases/20/Release_Notes
Fedora,21,,,glibc,2.20,libstdc++,4.9.2,https://archives.fedoraproject.org/pub/archive/fedora/linux/releases/21/Everything/x86_64/os/repodata/e2a28baab2ea4632fad93f9f28144cda3458190888fdf7f2acc9bc289f397e96-primary.xml.gz,3.17,,Release-media kernel/header baseline; Fedora moves quickly after release.,https://fedoraproject.org/wiki/Releases/21/Release_Notes
Fedora,22,,,glibc,2.21,libstdc++,5.1.1,https://archives.fedoraproject.org/pub/archive/fedora/linux/releases/22/Everything/x86_64/os/repodata/4d06cfe6f3e2d80a445e8b31e09e32f40741239b54e7988658c4fbf531d427dc-primary.xml.gz,4.0,,Release-media kernel/header baseline; Fedora moves quickly after release.,https://fedoraproject.org/wiki/Releases/22/Release_Notes
Fedora,23,,,glibc,2.22,libstdc++,5.1.1,https://archives.fedoraproject.org/pub/archive/fedora/linux/releases/23/Everything/x86_64/os/repodata/0fa09bb5f82e4a04890b91255f4b34360e38ede964fe8328f7377e36f06bad27-primary.xml.gz,4.2,,Release-media kernel/header baseline; Fedora moves quickly after release.,https://fedoraproject.org/wiki/Releases/23/Release_Notes
Fedora,24,,,glibc,2.23,libstdc++,6.1.1,https://archives.fedoraproject.org/pub/archive/fedora/linux/releases/24/Everything/x86_64/os/repodata/8dcc989396ed27fadd252ba9b655019934bc3d9915f186f1f2f27e71eba7b42f-primary.xml.gz,4.5,,Release-media kernel/header baseline; Fedora moves quickly after release.,https://fedoraproject.org/wiki/Releases/24/Release_Notes
Fedora,25,,,glibc,2.24,libstdc++,6.2.1,https://archives.fedoraproject.org/pub/archive/fedora/linux/releases/25/Everything/x86_64/os/repodata/eaea04bff7327c49d90240992dff2be6d451a1758ef83e94825f23d4ff27e868-primary.xml.gz,4.8,,Release-media kernel/header baseline; Fedora moves quickly after release.,https://fedoraproject.org/wiki/Releases/25/Release_Notes
Fedora,26,,,glibc,2.25,libstdc++,7.1.1,https://archives.fedoraproject.org/pub/archive/fedora/linux/releases/26/Everything/x86_64/os/repodata/880055a50c05b20641530d09b23f64501a000b2f92fe252417c530178730a95e-primary.xml.gz,4.11,,Release-media kernel/header baseline; Fedora moves quickly after release.,https://fedoraproject.org/wiki/Releases/26/Release_Notes
Fedora,27,,,glibc,2.26,libstdc++,7.2.1,https://archives.fedoraproject.org/pub/archive/fedora/linux/releases/27/Everything/x86_64/os/repodata/48986ce4583cd09825c6d437150314446f0f49fa1a1bd62dcfa1085295030fe9-primary.xml.gz,4.13,,Release-media kernel/header baseline; Fedora moves quickly after release.,https://fedoraproject.org/wiki/Releases/27/Release_Notes
