distro,release,codename,variant,libc,libc_baseline,cxx_stdlib,cxx_stdlib_baseline,cxx_stdlib_source_url,linux_uapi_headers_baseline,alternate_linux_uapi_headers_baseline,notes,source_url
SLES,12 SP5,,,glibc,2.22,libstdc++,4.8.5,https://api.opensuse.org/public/source/SUSE:SLE-12-SP5:GA/gcc48.31962,4.12,,Old SUSE enterprise floor; service pack matters.,https://documentation.suse.com/releasenotes/sles/12-SP5/index.html
SLES,15 GA,,,glibc,2.26,libstdc++,7.3.1+r258812,https://api.opensuse.org/public/source/SUSE:SLE-15:GA/gcc7,4.12,,Do not collapse all SLES 15 service packs into one baseline.,https://www.suse.com/releasenotes/x86_64/SUSE-SLES/15/index.html
SLES,15 SP2,,,glibc,2.26,libstdc++,9.3.1+git1296,https://api.opensuse.org/public/source/SUSE:SLE-15-SP2:GA/gcc9.14780,5.3,,Kernel jumped while glibc stayed old.,https://www.suse.com/releasenotes/x86_64/SUSE-SLES/15-SP2/index.html
SLES,15 SP4,,,glibc,2.31,libstdc++,11.2.1+git610,https://documentation.suse.com/package-lists/sle/15-SP4/package-changes_SLE-15-SP3-GA_SLE-15-SP4-GA.txt,5.14,,Use SP-specific baseline.,https://susedoc.github.io/release-notes/sles-15_SP4/html/release-notes/
SLES,15 SP5,,,glibc,2.31,libstdc++,12.2.1+git416,https://download.opensuse.org/distribution/leap/15.5/repo/oss/repodata/2aa1fa637f7b84d8329ac01fbe3369c2c0794e8c9e9e6203b7ddadb91dbf8700-primary.xml.gz,5.14,,Use SP-specific baseline.,https://www.suse.com/releasenotes/x86_64/SUSE-SLES/15-SP5/index.html
SLES,15 SP6,,,glibc,2.38,libstdc++,13.2.1+git8285,https://documentation.suse.com/package-lists/sle/15-SP6/package-changes_SLE-15-SP5-GA_SLE-15-SP6-GA.txt,6.4,,SUSE release notes call out glibc 2.38 and Linux 6.4.,https://documentation.suse.com/releasenotes/sles/15-SP6/index.html
SLES,15 SP7,,,glibc,2.38,libstdc++,13.3.1+git9426,https://documentation.suse.com/package-lists/sle/15-SP7/package-changes_SLE-15-SP6-GA_SLE-15-SP7-GA.txt,6.4,,SP7 remains 6.4 and glibc 2.38 class.,https://www.suse.com/releasenotes/x86_64/SUSE-SLES/15-SP7/index.html
SLES,16.0,,,glibc,2.40,libstdc++,15.2.0+git10201,https://api.opensuse.org/public/source/SUSE:SLFO:1.2/gcc15,6.12,,SLES 16.0 modern baseline.,https://www.suse.com/c/what-is-new-in-suse-linux-enterprise-server-16-0/
openSUSE Leap,15.4,,,glibc,2.31,libstdc++,11.2.1+git610,https://download.opensuse.org/distribution/leap/15.4/repo/oss/repodata/ce05d60302efda01fd0719deefcf0e233eb930e2224b5ed0d7bc4b5f81c3adfd-primary.xml.gz,5.14,,Leap tracks SLE service-pack baselines.,https://get.opensuse.org/leap/15.4/
openSUSE Leap,15.5,,,glibc,2.31,libstdc++,12.2.1+git416,https://download.opensuse.org/distribution/leap/15.5/repo/oss/repodata/2aa1fa637f7b84d8329ac01fbe3369c2c0794e8c9e9e6203b7ddadb91dbf8700-primary.xml.gz,5.14,,Leap tracks SLE service-pack baselines.,https://get.opensuse.org/leap/15.5/
openSUSE Leap,15.6,,,glibc,2.38,libstdc++,13.2.1+git8285,https://download.opensuse.org/distribution/leap/15.6/repo/oss/repodata/72ade5926fe32d0008e6c2b8d931d47abbf209bd488d4156b3756b23734a47b6c63917f1940ee441fb363adb08daa46632d51cedfe9c4bea87a0f3fd9452e9db-primary.xml.gz,6.4,,Leap 15.6 is built on SLE 15 SP6; use SP-specific baseline.,https://news.opensuse.org/2024/03/07/leap-reaches-beta-phase/
